option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike
Lose the ability to read,Lose the ability to speak,87440,49538,0,1,1,0,0,0
Lose the ability to read,Lose the ability to speak,87440,49539,0,1,1,0,0,0
Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28651,0,1,1,0,0,0
Lose the ability to read,Lose the ability to speak,87440,49540,0,1,1,0,0,0
Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28652,0,1,1,0,0,0
Time travel one time and return,Control humans with your mind forever,35124,98606,0,1,1,0,0,0
Lose the ability to pee,Lose the ability to poop,52291,81324,0,1,1,0,0,0
See one day into your own future,Visit the after-life one time and return,47865,85298,0,1,1,0,0,0
Be a King/Queen of an empire 2500 years ago,Be the president/prime minister today,61347,72035,0,1,1,0,0,0
Post every text message you ever sent on the internet,Have tattoos on your forehead depicting everything you did the day before,98744,49059,0,1,1,0,0,0
Live stream your entire life for everyone to see,Anyone around you can hear your thoughts for the rest of your life,103015,44964,0,1,1,0,0,0
Live to be 400 and look 400 your entire life,Live to be 80 and look 25 your entire life,24556,108748,0,1,1,0,0,0
Never be able to use toilet paper,Never be able to brush your teeth,95894,37689,0,1,1,0,0,0
Be able to stop time whenever you wanted,Get whatever you want just by thinking it (except life),48692,84141,0,1,1,0,0,0
Randomly time travel +/- 20 years every time you pass gas,"Teleport to a different place on earth every time you sneeze (land, not water)",46656,101359,0,1,1,0,0,0
Have to scream as loud as you can before starting every conversation “I'm a Leprechaun”,Have to smack every person you have a conversation with and call them an idiot,81224,66113,0,1,1,0,0,0
Have your skin change colors based on your emotions forever,Wake up every morning with a randomly different face for a year,76130,56028,0,1,1,0,0,0
Go into the past and meet your ancestors,Go into the future and meet your great-great grandchildren,60539,71558,0,1,1,0,0,0
Be Elon Musk,Be Jeff Bezos,91573,42724,0,1,1,0,0,0
Be able to have nine lives,Be able to have $9 million dollars with one life,70850,62979,0,1,1,0,0,0
Save your spouse,Save your child,52910,97205,0,1,1,0,0,0
Never have to go to work a day in your life,Never feel tired a day in your life,57591,75528,0,1,1,0,0,0
Be the smartest person in the world,Be the wealthiest person in the world,76141,58035,0,1,1,0,0,0
Live in constant fear of being assasinated,Have a traumatic injury in your young adult life (full recovery: 5 years),38057,93433,0,1,1,0,0,0
Lick the bottom of a worn shoe,Eat from a strangers feet,96513,35507,0,1,1,0,0,0
