number,option1,option2,option1Votes,option2Votes,recommended,active,available,hidden,like,dislike,cat
1,Lose the ability to read,Lose the ability to speak,87440,49538,0,1,1,0,0,0,
2,Be the richest person in the world and live your intended lifetime,Be poor and live forever,106105,28651,0,1,1,0,0,0,
3,Time travel one time and return,Control humans with your mind forever,35124,98606,0,1,1,0,0,0,
4,Lose the ability to pee,Lose the ability to poop,52291,81324,0,1,1,0,0,0,
5,See one day into your own future,Visit the after-life one time and return,47865,85298,0,1,1,0,0,0,
6,Be a King/Queen of an empire 2500 years ago,Be the president/prime minister today,61347,72035,0,1,1,0,0,0,
7,Post every text message you ever sent on the internet,Have tattoos on your forehead depicting everything you did the day before,98744,49059,0,1,1,0,0,0,
8,Live stream your entire life for everyone to see,Anyone around you can hear your thoughts for the rest of your life,103015,44964,0,1,1,0,0,0,
9,Live to be 400 and look 400 your entire life,Live to be 80 and look 25 your entire life,24556,108748,0,1,1,0,0,0,
10,Never be able to use toilet paper,Never be able to brush your teeth,95894,37689,0,1,1,0,0,0,
11,Be able to stop time whenever you wanted,Get whatever you want just by thinking it (except life),48692,84141,0,1,1,0,0,0,
12,Randomly time travel +/- 20 years every time you pass gas,"Teleport to a different place on earth every time you sneeze (land, not water)",46656,101359,0,1,1,0,0,0,
13,Have your skin change colors based on your emotions forever,Wake up every morning with a randomly different face for a year,76130,56028,0,1,1,0,0,0,
14,Go into the past and meet your ancestors,Go into the future and meet your great-great grandchildren,60539,71558,0,1,1,0,0,0,
15,Be Elon Musk,Be Jeff Bezos,91573,42724,0,1,1,0,0,0,
16,Be able to have nine lives,Be able to have $9 million dollars with one life,70850,62979,0,1,1,0,0,0,
17,Save your spouse,Save your child,52910,97205,0,1,1,0,0,0,
18,Never have to go to work a day in your life,Never feel tired a day in your life,57591,75528,0,1,1,0,0,0,
19,Be the smartest person in the world,Be the wealthiest person in the world,76141,58035,0,1,1,0,0,0,
20,Live in constant fear of being assasinated,Have a traumatic injury in your young adult life (full recovery: 5 years),38057,93433,0,1,1,0,0,0,
21,Lick the bottom of a worn shoe,Eat from a strangers feet,96513,35507,0,1,1,0,0,0,
22,Find the true love of your life,Be friends with all of your favorite celebrities,79576,54215,0,1,1,0,0,0,
23,Be able to bring 3 dead people you loved back to life,Be guaranteed an extra 20 years on all of your current family member's lives,51511,80318,0,1,1,0,0,0,
24,Be abducted by an alien,Be thrown in jail for a crime you did not commit,91612,41580,0,1,1,0,0,0,
25,Have a mild case of COVID-19 for the rest of your life,Have a heart attack several times a year,100796,31294,0,1,1,0,0,0,
26,Fall down a flight of stairs,Get thrown out of a moving vehicle at 50mph,97670,35398,0,1,1,0,0,0,
27,Be able to be invisible,Be able to fly everywhere,67437,66473,0,1,1,0,0,0,
28,Always speak your mind (including very harsh truths),Never speak up for yourself,91340,41958,0,1,1,0,0,0,
29,Find the cure for cancer,Find the solution to world peace,65631,67679,0,1,1,0,0,0,
30,Be immune from all laws within your country,Be president of your country,95761,37278,0,1,1,0,0,0,
31,Vomit every time you see the color brown,Have to sneeze ten times whenever you are touched,52562,96748,0,1,1,0,0,0,
32,Find the meaning of life,Find all of the government's top secrets,57376,76107,0,1,1,0,0,0,
33,Have to tell your crush your most embarrassing story,Have to stand in a subway naked for one hour,112151,21105,0,1,1,0,0,0,
34,Be able to read anyone's mind,Know the exact time you will die,115559,18884,0,1,1,0,0,0,
35,Know the exact time when each of your family members will die,Save a group of children from death and give them their intended lifetime,37175,95650,0,1,1,0,0,0,
36,Marry an exact clone of yourself,Marry your sister/brother,100937,32270,0,1,1,0,0,0,
37,Be able to have any pet you want,Be able to have any electronic device you want,49879,82877,0,1,1,0,0,0,
38,Be very sensitive to everything people say,Never be able to hear the opinions of others,64888,69462,0,1,1,0,0,0,
39,Be the smartest person in the world,Be the strongest person in the world,102357,32164,0,1,1,0,0,0,
40,Be born into a rich family,Work for all your wealth but have more,54119,80479,0,1,1,0,0,0,
41,Lose one eye,Lose one arm,100913,33110,0,1,1,0,0,0,
42,Live through the bubonic plague,Live through World War One,32541,100303,0,1,1,0,0,0,
43,Be able to taste any food by looking at it,Be able to feel anything by looking at it,76706,55637,0,1,1,0,0,0,
44,Visit every state in your country,Visit every country in the world,26605,107085,0,1,1,0,0,0,
45,Constantly hear a high pitch sound,Be unable to hear your voice when you speak,48033,84491,0,1,1,0,0,0,
46,Be able to find anything by thinking about it,Be able to date any person you can think of,79915,52601,0,1,1,0,0,0,
47,"Stay in high school your entire life but make $100,000/year","Be able to work your dream job but make $60,000/year",48702,101343,0,1,1,0,0,0,
48,Be publicly embarrassed but have everyone forget after a year,Have your entire family publicly embarrassed for 2 years,108316,23633,0,1,1,0,0,0,
49,Live with a complete slob,Live with a complete idiot,41893,90294,0,1,1,0,0,0,
50,Have to live under a bridge ,Have to live inside a strangers bathroom,80559,51418,0,1,1,0,0,0,
51,Go to work/school everyday hungry ,Go to work/school everyday exhausted ,78829,52778,0,1,1,0,0,0,
52,Live through the sinking of the Titanic,Live through a kidnapping,66502,64954,0,1,1,0,0,0,
53,Have to urinate on trees,Have to poop on carpets,117478,15280,0,1,1,0,0,0,
54,Live through your biggest fear,Have to relive your biggest regret,55488,75569,0,1,1,0,0,0,
55,Lick a pile of dog poop,Lick the floor of a school bathroom,23352,107558,0,1,1,0,0,0,
56,Never be able to remember names,Never be able to visualize images,91392,40708,0,1,1,0,0,0,
57,Live alone for the rest of your life,Live single with 10 kids ,84969,47222,0,1,1,0,0,0,
58,Run 5 Miles Everyday,"Do 1,000 Jumping Jacks Everyday",73637,31288,0,1,1,0,0,0,
59,Have unlimited water,Have unlimited Food,47340,85693,0,1,1,0,0,0,
60,Kill your dog,Kill your best friend,85761,44854,0,1,1,0,0,0,
61,Get super strong every time you get touched,Get super speed every time you get touched,62752,68601,0,1,1,0,0,0,
62,Only be able to remember 3 things perfectly,Have permanent short term memory loss,76472,54278,0,1,1,0,0,0,
63,"Be an idiot, but receive $1,000,000 each year","Be very smart, but earn $125,000 each year",48630,84093,0,1,1,0,0,0,
64,Be stuck in a chickens body your entire life,Be stuck in a pigs body your entire life,83774,49398,0,1,1,0,0,0,
65,Die in front of your friends,Let your friends die in front of you,91270,42211,0,1,1,0,0,0,
66,Have to eat seven cockroaches,Have to eat an entire snake,740,1326,0,1,1,0,0,0,
67,Lose the ability to read,Lose the ability to write,14249,67844,0,1,1,0,0,0,
68,Ability to Fly,Ability to become invisible at will,33337,49541,0,1,1,0,0,0,
69,Communicate with animals,Speak all languages fluently,28579,53842,0,1,1,0,0,0,
70,Always be 2 hours late,Always be 2 hours early,13461,69557,0,1,1,0,0,0,
71,Have a photographic Memory,Be able to forget anything at will,58859,23462,0,1,1,0,0,0,
72,Have a personal chef,Have a personal driver,62272,20526,0,1,1,0,0,0,
73,Control weather with your mind,Control animals with your mind,43670,38411,0,1,1,0,0,0,
74,"Live without social media (Ex: Instagram, Twitter)","Live without video streaming platforms (Ex: Youtube, Netflix)",75646,23354,0,1,1,0,0,0,
75,Ability to breath underwater,Ability to fall from any height without injury,34064,47418,0,1,1,0,0,0,
76,Communicate with your past self,Communicate with your future self,27027,54556,0,1,1,0,0,0,
77,Have unlimited money,Have unlimited friends,67149,16358,0,1,1,0,0,0,
78,Live without music,Live without movies,22391,60104,0,1,1,0,0,0,
79,Have perfect memory,Have perfect beauty,50382,32593,0,1,1,0,0,0,
80,Always be sunny outside,Always be dark outside,55425,26700,0,1,1,0,0,0,
81,Lose your spouse,Lose your parents,59941,21717,0,1,1,0,0,0,
82,Lose 20% of your IQ,Lose 20% of your wealth,18811,64267,0,1,1,0,0,0,
83,Walk everywhere,Run everywhere,53665,28987,0,1,1,0,0,0,
84,Post every text you ever sent on the internet,Post every phone call you ever had on the internet,21972,59340,0,1,1,0,0,0,
85,Find your true love but loose your career,Have a successful career without love,39713,42033,0,1,1,0,0,0,
86,Marry an exact clone of yourself,Never have a life partner,37752,44115,0,1,1,0,0,0,
87,"Be born in a rich, but corrupt family","Be born in a poor, but moral family",46674,35184,0,1,1,0,0,0,
88,Never lose anything,Never break anything,59244,23147,0,1,1,0,0,0,
89,Have your memory wiped,Have your bank account(s) wiped,19640,62554,0,1,1,0,0,0,
90,Have a large family,Have a large friend group,34840,47488,0,1,1,0,0,0,
91,Permanent Summer,Permanent Winter,47832,35127,0,1,1,0,0,0,
92,Have one pet,Have one child,53481,30074,0,1,1,0,0,0,
93,Live in the Sahara Desert,Live in Antarctica,29989,51940,0,1,1,0,0,0,
94,Make $350k a year robbing innocent people,Make $40k year helping people in need,39761,59286,0,1,1,0,0,0,
95,Be able to buy happiness,Be able to buy love,58172,24192,0,1,1,0,0,0,
96,Free food for life,Free gas for life,64392,18705,0,1,1,0,0,0,
97,Know HOW you will die,Know WHEN you will die,37633,44751,0,1,1,0,0,0,
98,Only eat fruit,Only eat meat,33808,49007,0,1,1,0,0,0,
99,Lose your hearing,Lose your eyesight,69415,13348,0,1,1,0,0,0,
100,Always have the urge to poop,Always have the urge to pee,24427,57500,0,1,1,0,0,0,
101,Lose weight by thinking,Lose weight by eating,31851,50676,0,1,1,0,0,0,
102,Have unsupporting friends,Have no friends,24203,57964,0,1,1,0,0,0,
103,Eat the same meals everyday,Only drink water but eat whatever,9610,72543,0,1,1,0,0,0,
104,Never celebrate birthdays,Never celebrate holidays,62702,19811,0,1,1,0,0,0,
105,Be stuck living forever,Have one life but have it very well spent,16096,66051,0,1,1,0,0,0,
106,Have hands for feet,Have feet for hands,68378,13628,0,1,1,0,0,0,
107,Be the most famous person in the world,Be the richest person in the world,12884,69607,0,1,1,0,0,0,
108,Change gender everyday,Change families everyday,60400,21782,0,1,1,0,0,0,
109,Lick a stranger's foot,Lick a stranger's hand,12587,69621,0,1,1,0,0,0,
110,Save 10 People but Sacrifice yourself,Let 10 people die to save yourself,33094,48801,0,1,1,0,0,0,
111,"Get $5,000 everytime someone lies to you","Get $100,000 everytime family/friend dies",76735,5943,0,1,1,0,0,0,
112,Have two arms but one leg,Have two legs but one 1 arm,38111,44000,0,1,1,0,0,0,
113,Have world Peace,Have a world that will never end,61623,20619,0,1,1,0,0,0,
114,Do school/work in person,Do school/work at home,37032,44817,0,1,1,0,0,0,
115,Marry the ugliest person in the world,Marry the dumbest person in the world,25543,56775,0,1,1,0,0,0,
116,Be in a coma for one year,Be in jail for one year,55090,27301,0,1,1,0,0,0,
117,Live underwater,Live in space,40678,42161,0,1,1,0,0,0,
118,Have the hottest spouse,Have the smartest spouse,37436,44447,0,1,1,0,0,0,
119,Have no internet,Have no personal vehicle,14688,68021,0,1,1,0,0,0,
120,Laugh every time someone cries,Get angry every time someone is happy,61527,20643,0,1,1,0,0,0,
121,Be publicly hated but secretly loved by everyone,Be publicly loved but secretly hated by everyone,71045,11193,0,1,1,0,0,0,
122,Have your entire life made into a movie,Have your entire life written in a book,50471,31367,0,1,1,0,0,0,
123,Have a jumpscare every 1 hour,Vomit once everyday,39289,42900,0,1,1,0,0,0,
124,Wear a face mask for the rest of your life,Wear goggles for the rest of your life,38590,43404,0,1,1,0,0,0,
125,Be a famous social media influencer,Be a famous hollywood movie actor,26318,55826,0,1,1,0,0,0,
126,Be dumb and useless,Be ugly and smelly,55102,26971,0,1,1,0,0,0,
127,Be unable to brush your teeth,Be unable to shower,58512,23859,0,1,1,0,0,0,
128,Have an extra arm,Have an extra leg,72021,10782,0,1,1,0,0,0,
129,Have an extremely restrictive diet,Always be constipated,59478,22117,0,1,1,0,0,0,
130,Always Rain,Always Snow,42791,40164,0,1,1,0,0,0,
131,Have a large flood,Have a large drought,48836,32594,0,1,1,0,0,0,
132,Give up your life right now,Have 100 kids right now,42205,40165,0,1,1,0,0,0,
133,Have no electricity,Have no indoor plumbing,26584,55630,0,1,1,0,0,0,
134,Have any ability of your choice,Live in any movie/book series,64155,17866,0,1,1,0,0,0,
135,Have no one come to your wedding,Have no one come to your birthdays,39955,42217,0,1,1,0,0,0,
136,Die alone but have a packed funeral,Have no one come to your funeral,38086,43687,0,1,1,0,0,0,
137,Only have street smarts,Only have book smarts,45494,36317,0,1,1,0,0,0,
